Class Number,Image Filename,Class Label,ClassID,ClassIdDesc,Image Height,Image Width
0,00668_0.jpg,prohibitory,2,speed limit 50,86,89
3,00668_1.jpg,other,12,priority road,115,117
0,00065_0.jpg,prohibitory,9,no overtaking,50,50
3,00756_0.jpg,other,12,priority road,50,51
2,00154_0.jpg,mandatory,35,go straight,26,25
0,00603_0.jpg,prohibitory,10,no overtaking (trucks),56,55
0,00881_0.jpg,prohibitory,5,speed limit 80,37,37
0,00881_1.jpg,prohibitory,5,speed limit 80,35,36
0,00319_0.jpg,prohibitory,3,speed limit 60,48,47
0,00319_1.jpg,prohibitory,3,speed limit 60,44,43
0,00339_0.jpg,prohibitory,1,speed limit 30,34,33
3,00339_1.jpg,other,12,priority road,50,53
0,00114_0.jpg,prohibitory,3,speed limit 60,63,62
1,00450_0.jpg,danger,11,priority at next intersection,70,77
1,00273_0.jpg,danger,29,cycles crossing,57,65
0,00088_0.jpg,prohibitory,10,no overtaking (trucks),26,26
0,00088_1.jpg,prohibitory,10,no overtaking (trucks),26,26
0,00088_2.jpg,prohibitory,8,speed limit 120,24,25
0,00088_3.jpg,prohibitory,8,speed limit 120,24,25
1,00508_0.jpg,danger,11,priority at next intersection,40,43
0,00386_0.jpg,prohibitory,10,no overtaking (trucks),25,25
0,00386_1.jpg,prohibitory,10,no overtaking (trucks),23,22
1,00662_0.jpg,danger,22,uneven road,41,45
1,00071_0.jpg,danger,24,road narrows,35,39
0,00071_1.jpg,prohibitory,1,speed limit 30,27,28
0,00071_2.jpg,prohibitory,9,no overtaking,26,27
0,00500_0.jpg,prohibitory,5,speed limit 80,48,49
0,00895_0.jpg,prohibitory,4,speed limit 70,45,44
0,00895_1.jpg,prohibitory,4,speed limit 70,48,49
1,00567_0.jpg,danger,22,uneven road,50,59
3,00090_0.jpg,other,13,give way,35,40
0,00334_0.jpg,prohibitory,15,no traffic both ways,47,46
0,00334_1.jpg,prohibitory,2,speed limit 50,37,36
1,00818_0.jpg,danger,25,construction,25,26
3,00315_0.jpg,other,6,restriction ends 80,46,42
3,00315_1.jpg,other,6,restriction ends 80,49,41
1,00665_0.jpg,danger,23,slippery road,42,49
0,00665_1.jpg,prohibitory,4,speed limit 70,22,22
0,00111_0.jpg,prohibitory,3,speed limit 60,33,32
0,00111_1.jpg,prohibitory,3,speed limit 60,32,33
0,00094_0.jpg,prohibitory,16,no trucks,48,49
0,00094_1.jpg,prohibitory,16,no trucks,76,76
2,00035_0.jpg,mandatory,38,keep right,39,38
3,00035_1.jpg,other,13,give way,35,36
3,00688_0.jpg,other,14,stop,36,35
3,00688_1.jpg,other,14,stop,33,33
0,00518_0.jpg,prohibitory,7,speed limit 100,48,47
0,00373_0.jpg,prohibitory,4,speed limit 70,31,31
0,00373_1.jpg,prohibitory,4,speed limit 70,34,34
0,00862_0.jpg,prohibitory,7,speed limit 100,76,78
3,00317_0.jpg,other,32,restriction ends,43,44
0,00621_0.jpg,prohibitory,4,speed limit 70,25,26
0,00521_0.jpg,prohibitory,7,speed limit 100,31,29
0,00521_1.jpg,prohibitory,7,speed limit 100,30,30
1,00022_0.jpg,danger,27,pedestrian crossing,25,25
2,00278_0.jpg,mandatory,40,roundabout,30,29
3,00278_1.jpg,other,13,give way,36,39
0,00171_0.jpg,prohibitory,4,speed limit 70,50,51
0,00171_1.jpg,prohibitory,9,no overtaking,49,50
0,00609_0.jpg,prohibitory,4,speed limit 70,32,31
0,00609_1.jpg,prohibitory,4,speed limit 70,34,33
2,00159_0.jpg,mandatory,39,keep left,63,57
2,00159_1.jpg,mandatory,39,keep left,26,26
2,00159_2.jpg,mandatory,38,keep right,32,31
2,00159_3.jpg,mandatory,38,keep right,39,26
2,00715_0.jpg,mandatory,38,keep right,66,66
0,00268_0.jpg,prohibitory,2,speed limit 50,26,25
1,00604_0.jpg,danger,30,snow,65,72
0,00774_0.jpg,prohibitory,1,speed limit 30,32,31
1,00077_0.jpg,danger,20,bend right,60,64
0,00077_1.jpg,prohibitory,9,no overtaking,47,50
2,00210_0.jpg,mandatory,35,go straight,25,21
3,00210_1.jpg,other,12,priority road,34,32
1,00451_0.jpg,danger,11,priority at next intersection,27,29
0,00240_0.jpg,prohibitory,1,speed limit 30,33,31
1,00017_0.jpg,danger,30,snow,107,123
1,00017_1.jpg,danger,11,priority at next intersection,20,23
2,00215_0.jpg,mandatory,39,keep left,20,20
0,00660_0.jpg,prohibitory,9,no overtaking,36,36
1,00817_0.jpg,danger,11,priority at next intersection,41,45
0,00121_0.jpg,prohibitory,7,speed limit 100,108,94
0,00176_0.jpg,prohibitory,2,speed limit 50,26,24
3,00571_0.jpg,other,17,no entry,23,21
0,00363_0.jpg,prohibitory,8,speed limit 120,43,43
0,00363_1.jpg,prohibitory,10,no overtaking (trucks),43,44
0,00309_0.jpg,prohibitory,7,speed limit 100,42,40
0,00309_1.jpg,prohibitory,7,speed limit 100,45,44
0,00457_0.jpg,prohibitory,2,speed limit 50,57,58
0,00457_1.jpg,prohibitory,2,speed limit 50,39,37
0,00613_0.jpg,prohibitory,5,speed limit 80,37,37
0,00613_1.jpg,prohibitory,5,speed limit 80,35,36
1,00736_0.jpg,danger,25,construction,27,28
1,00054_0.jpg,danger,27,pedestrian crossing,36,39
0,00054_1.jpg,prohibitory,0,speed limit 20,28,29
3,00054_2.jpg,other,12,priority road,25,24
2,00054_3.jpg,mandatory,38,keep right,20,19
2,00261_0.jpg,mandatory,35,go straight,61,58
1,00481_0.jpg,danger,18,danger,34,36
1,00137_0.jpg,danger,11,priority at next intersection,60,69
0,00445_0.jpg,prohibitory,5,speed limit 80,47,45
0,00445_1.jpg,prohibitory,5,speed limit 80,42,41
0,00165_0.jpg,prohibitory,1,speed limit 30,18,16
1,00165_1.jpg,danger,11,priority at next intersection,48,56
2,00033_0.jpg,mandatory,38,keep right,66,66
2,00232_0.jpg,mandatory,38,keep right,28,28
3,00232_1.jpg,other,13,give way,40,43
3,00232_2.jpg,other,13,give way,40,43
1,00221_0.jpg,danger,26,traffic signal,50,54
3,00505_0.jpg,other,12,priority road,41,40
2,00262_0.jpg,mandatory,36,go right or straight,59,59
3,00262_1.jpg,other,12,priority road,102,104
3,00200_0.jpg,other,14,stop,76,75
2,00200_1.jpg,mandatory,34,go left,53,52
3,00200_2.jpg,other,17,no entry,24,22
3,00200_3.jpg,other,17,no entry,25,24
0,00180_0.jpg,prohibitory,2,speed limit 50,37,35
0,00528_0.jpg,prohibitory,7,speed limit 100,41,41
0,00528_1.jpg,prohibitory,7,speed limit 100,41,40
0,00475_0.jpg,prohibitory,7,speed limit 100,75,77
0,00056_0.jpg,prohibitory,1,speed limit 30,32,31
1,00195_0.jpg,danger,11,priority at next intersection,113,121
1,00195_1.jpg,danger,18,danger,33,36
3,00295_0.jpg,other,6,restriction ends 80,47,46
3,00295_1.jpg,other,6,restriction ends 80,46,44
0,00378_0.jpg,prohibitory,10,no overtaking (trucks),118,119
0,00378_1.jpg,prohibitory,8,speed limit 120,120,124
0,00223_0.jpg,prohibitory,1,speed limit 30,40,42
0,00026_0.jpg,prohibitory,1,speed limit 30,41,39
2,00887_0.jpg,mandatory,36,go right or straight,27,26
0,00072_0.jpg,prohibitory,4,speed limit 70,23,22
0,00806_0.jpg,prohibitory,1,speed limit 30,25,24
0,00380_0.jpg,prohibitory,10,no overtaking (trucks),24,25
0,00380_1.jpg,prohibitory,10,no overtaking (trucks),23,23
0,00380_2.jpg,prohibitory,8,speed limit 120,23,23
0,00380_3.jpg,prohibitory,8,speed limit 120,24,25
1,00356_0.jpg,danger,30,snow,53,58
1,00356_1.jpg,danger,30,snow,57,62
3,00285_0.jpg,other,14,stop,55,55
3,00548_0.jpg,other,14,stop,36,36
2,00548_1.jpg,mandatory,36,go right or straight,25,25
0,00149_0.jpg,prohibitory,4,speed limit 70,87,90
3,00149_1.jpg,other,12,priority road,115,121
3,00149_2.jpg,other,12,priority road,23,22
0,00630_0.jpg,prohibitory,4,speed limit 70,70,66
0,00323_0.jpg,prohibitory,10,no overtaking (trucks),26,28
0,00323_1.jpg,prohibitory,10,no overtaking (trucks),27,26
0,00005_0.jpg,prohibitory,9,no overtaking,114,112
0,00884_0.jpg,prohibitory,4,speed limit 70,35,35
0,00884_1.jpg,prohibitory,10,no overtaking (trucks),33,35
3,00458_0.jpg,other,12,priority road,32,29
3,00460_0.jpg,other,12,priority road,28,30
2,00460_1.jpg,mandatory,33,go right,32,31
1,00544_0.jpg,danger,11,priority at next intersection,61,68
1,00544_1.jpg,danger,25,construction,34,38
0,00544_2.jpg,prohibitory,1,speed limit 30,20,18
3,00744_0.jpg,other,13,give way,28,28
0,00831_0.jpg,prohibitory,1,speed limit 30,38,38
0,00187_0.jpg,prohibitory,2,speed limit 50,33,34
0,00187_1.jpg,prohibitory,2,speed limit 50,35,33
3,00770_0.jpg,other,41,restriction ends (overtaking),36,35
3,00770_1.jpg,other,17,no entry,29,29
2,00770_2.jpg,mandatory,38,keep right,28,29
3,00201_0.jpg,other,13,give way,45,50
2,00267_0.jpg,mandatory,36,go right or straight,22,22
3,00267_1.jpg,other,12,priority road,26,27
1,00301_0.jpg,danger,22,uneven road,64,69
0,00301_1.jpg,prohibitory,2,speed limit 50,50,50
2,00675_0.jpg,mandatory,38,keep right,35,35
3,00675_1.jpg,other,13,give way,34,35
2,00675_2.jpg,mandatory,40,roundabout,26,25
0,00150_0.jpg,prohibitory,2,speed limit 50,41,41
0,00157_0.jpg,prohibitory,9,no overtaking,36,35
0,00157_1.jpg,prohibitory,9,no overtaking,40,40
2,00157_2.jpg,mandatory,38,keep right,21,21
3,00333_0.jpg,other,14,stop,64,60
3,00333_1.jpg,other,14,stop,58,56
1,00073_0.jpg,danger,23,slippery road,26,28
0,00073_1.jpg,prohibitory,2,speed limit 50,19,20
0,00073_2.jpg,prohibitory,9,no overtaking,21,21
1,00073_3.jpg,danger,23,slippery road,27,31
0,00073_4.jpg,prohibitory,2,speed limit 50,23,22
0,00073_5.jpg,prohibitory,9,no overtaking,19,20
0,00360_0.jpg,prohibitory,8,speed limit 120,43,44
0,00360_1.jpg,prohibitory,8,speed limit 120,43,43
0,00371_0.jpg,prohibitory,5,speed limit 80,56,55
1,00076_0.jpg,danger,21,bend,33,35
0,00076_1.jpg,prohibitory,2,speed limit 50,24,26
0,00314_0.jpg,prohibitory,5,speed limit 80,36,34
0,00314_1.jpg,prohibitory,5,speed limit 80,33,34
0,00527_0.jpg,prohibitory,10,no overtaking (trucks),30,30
0,00527_1.jpg,prohibitory,10,no overtaking (trucks),31,30
2,00682_0.jpg,mandatory,35,go straight,41,41
2,00682_1.jpg,mandatory,35,go straight,44,46
2,00682_2.jpg,mandatory,38,keep right,29,29
0,00824_0.jpg,prohibitory,15,no traffic both ways,35,36
3,00337_0.jpg,other,12,priority road,30,31
3,00038_0.jpg,other,12,priority road,19,22
0,00385_0.jpg,prohibitory,8,speed limit 120,39,38
0,00385_1.jpg,prohibitory,8,speed limit 120,40,40
2,00153_0.jpg,mandatory,35,go straight,31,30
0,00129_0.jpg,prohibitory,9,no overtaking,47,47
1,00129_1.jpg,danger,26,traffic signal,40,39
0,00435_0.jpg,prohibitory,9,no overtaking,29,28
0,00203_0.jpg,prohibitory,0,speed limit 20,25,25
1,00492_0.jpg,danger,11,priority at next intersection,28,29
3,00299_0.jpg,other,42,restriction ends (overtaking (trucks)),59,59
1,00172_0.jpg,danger,25,construction,24,27
0,00172_1.jpg,prohibitory,1,speed limit 30,19,19
2,00209_0.jpg,mandatory,33,go right,62,60
3,00209_1.jpg,other,13,give way,78,87
3,00694_0.jpg,other,12,priority road,33,32
0,00292_0.jpg,prohibitory,8,speed limit 120,29,28
0,00292_1.jpg,prohibitory,8,speed limit 120,29,30
0,00271_0.jpg,prohibitory,2,speed limit 50,39,38
0,00271_1.jpg,prohibitory,2,speed limit 50,41,40
1,00238_0.jpg,danger,18,danger,34,38
0,00238_1.jpg,prohibitory,1,speed limit 30,28,27
0,00645_0.jpg,prohibitory,1,speed limit 30,56,56
0,00053_0.jpg,prohibitory,15,no traffic both ways,39,40
2,00053_1.jpg,mandatory,35,go straight,33,32
0,00833_0.jpg,prohibitory,1,speed limit 30,46,46
0,00382_0.jpg,prohibitory,8,speed limit 120,41,40
0,00382_1.jpg,prohibitory,10,no overtaking (trucks),39,39
0,00382_2.jpg,prohibitory,8,speed limit 120,39,39
0,00382_3.jpg,prohibitory,10,no overtaking (trucks),39,39
1,00207_0.jpg,danger,25,construction,65,73
2,00048_0.jpg,mandatory,40,roundabout,31,31
3,00048_1.jpg,other,13,give way,38,44
2,00048_2.jpg,mandatory,38,keep right,39,39
0,00353_0.jpg,prohibitory,10,no overtaking (trucks),24,24
0,00353_1.jpg,prohibitory,10,no overtaking (trucks),22,20
1,00615_0.jpg,danger,18,danger,42,46
0,00615_1.jpg,prohibitory,8,speed limit 120,28,27
1,00615_2.jpg,danger,18,danger,43,46
0,00615_3.jpg,prohibitory,8,speed limit 120,29,27
3,00403_0.jpg,other,42,restriction ends (overtaking (trucks)),24,23
3,00403_1.jpg,other,42,restriction ends (overtaking (trucks)),26,25
0,00403_2.jpg,prohibitory,4,speed limit 70,24,24
0,00403_3.jpg,prohibitory,4,speed limit 70,27,25
3,00375_0.jpg,other,13,give way,24,26
0,00369_0.jpg,prohibitory,8,speed limit 120,20,21
0,00369_1.jpg,prohibitory,10,no overtaking (trucks),21,23
0,00369_2.jpg,prohibitory,8,speed limit 120,19,21
0,00369_3.jpg,prohibitory,10,no overtaking (trucks),21,21
1,00723_0.jpg,danger,23,slippery road,49,55
1,00723_1.jpg,danger,23,slippery road,47,56
0,00723_2.jpg,prohibitory,4,speed limit 70,23,21
3,00836_0.jpg,other,13,give way,32,35
1,00107_0.jpg,danger,25,construction,52,54
0,00107_1.jpg,prohibitory,1,speed limit 30,40,39
3,00654_0.jpg,other,12,priority road,59,56
2,00497_0.jpg,mandatory,38,keep right,40,34
1,00772_0.jpg,danger,18,danger,20,22
3,00016_0.jpg,other,12,priority road,57,58
1,00347_0.jpg,danger,30,snow,52,58
1,00459_0.jpg,danger,25,construction,33,34
0,00459_1.jpg,prohibitory,1,speed limit 30,25,24
0,00720_0.jpg,prohibitory,2,speed limit 50,18,19
0,00377_0.jpg,prohibitory,8,speed limit 120,39,39
0,00377_1.jpg,prohibitory,8,speed limit 120,41,40
0,00377_2.jpg,prohibitory,10,no overtaking (trucks),39,39
0,00377_3.jpg,prohibitory,10,no overtaking (trucks),41,41
1,00106_0.jpg,danger,25,construction,75,83
2,00575_0.jpg,mandatory,38,keep right,32,32
3,00140_0.jpg,other,14,stop,29,28
1,00771_0.jpg,danger,18,danger,31,33
3,00771_1.jpg,other,13,give way,45,51
3,00771_2.jpg,other,13,give way,47,51
0,00530_0.jpg,prohibitory,10,no overtaking (trucks),33,35
0,00530_1.jpg,prohibitory,10,no overtaking (trucks),33,33
0,00632_0.jpg,prohibitory,1,speed limit 30,45,46
1,00338_0.jpg,danger,26,traffic signal,30,34
0,00338_1.jpg,prohibitory,2,speed limit 50,27,32
1,00338_2.jpg,danger,26,traffic signal,29,33
0,00338_3.jpg,prohibitory,2,speed limit 50,26,29
0,00318_0.jpg,prohibitory,15,no traffic both ways,25,26
2,00318_1.jpg,mandatory,38,keep right,22,21
0,00693_0.jpg,prohibitory,3,speed limit 60,40,40
3,00376_0.jpg,other,6,restriction ends 80,43,43
3,00376_1.jpg,other,6,restriction ends 80,43,42
3,00219_0.jpg,other,13,give way,70,75
2,00219_1.jpg,mandatory,33,go right,56,55
0,00366_0.jpg,prohibitory,8,speed limit 120,23,23
0,00366_1.jpg,prohibitory,10,no overtaking (trucks),24,23
0,00366_2.jpg,prohibitory,8,speed limit 120,23,26
0,00366_3.jpg,prohibitory,10,no overtaking (trucks),23,27
0,00712_0.jpg,prohibitory,9,no overtaking,52,52
1,00229_0.jpg,danger,28,school crossing,45,50
0,00229_1.jpg,prohibitory,1,speed limit 30,33,32
0,00229_2.jpg,prohibitory,9,no overtaking,31,36
0,00520_0.jpg,prohibitory,10,no overtaking (trucks),58,55
3,00849_0.jpg,other,14,stop,53,43
2,00849_1.jpg,mandatory,33,go right,35,35
3,00664_0.jpg,other,12,priority road,45,45
0,00664_1.jpg,prohibitory,4,speed limit 70,31,30
0,00416_0.jpg,prohibitory,3,speed limit 60,38,38
3,00068_0.jpg,other,13,give way,22,22
0,00742_0.jpg,prohibitory,7,speed limit 100,34,34
0,00742_1.jpg,prohibitory,7,speed limit 100,33,34
0,00222_0.jpg,prohibitory,1,speed limit 30,36,37
0,00173_0.jpg,prohibitory,1,speed limit 30,50,50
2,00198_0.jpg,mandatory,36,go right or straight,17,17
3,00198_1.jpg,other,14,stop,23,24
1,00168_0.jpg,danger,18,danger,24,26
0,00719_0.jpg,prohibitory,2,speed limit 50,36,35
0,00846_0.jpg,prohibitory,2,speed limit 50,35,36
0,00846_1.jpg,prohibitory,2,speed limit 50,37,37
0,00291_0.jpg,prohibitory,3,speed limit 60,38,36
2,00633_0.jpg,mandatory,38,keep right,81,70
0,00089_0.jpg,prohibitory,5,speed limit 80,30,28
0,00089_1.jpg,prohibitory,5,speed limit 80,27,27
0,00776_0.jpg,prohibitory,1,speed limit 30,32,32
3,00776_1.jpg,other,12,priority road,111,112
2,00776_2.jpg,mandatory,38,keep right,22,21
3,00649_0.jpg,other,12,priority road,46,47
1,00105_0.jpg,danger,18,danger,46,47
1,00105_1.jpg,danger,26,traffic signal,61,67
0,00705_0.jpg,prohibitory,1,speed limit 30,35,36
0,00706_0.jpg,prohibitory,1,speed limit 30,31,33
0,00692_0.jpg,prohibitory,15,no traffic both ways,40,41
2,00118_0.jpg,mandatory,38,keep right,59,57
3,00152_0.jpg,other,12,priority road,23,22
0,00531_0.jpg,prohibitory,10,no overtaking (trucks),20,19
0,00531_1.jpg,prohibitory,10,no overtaking (trucks),23,22
0,00093_0.jpg,prohibitory,1,speed limit 30,39,35
0,00093_1.jpg,prohibitory,1,speed limit 30,50,43
3,00678_0.jpg,other,13,give way,42,45
0,00872_0.jpg,prohibitory,10,no overtaking (trucks),33,32
0,00872_1.jpg,prohibitory,10,no overtaking (trucks),33,33
2,00052_0.jpg,mandatory,36,go right or straight,37,36
3,00052_1.jpg,other,12,priority road,50,51
1,00855_0.jpg,danger,23,slippery road,96,108
3,00855_1.jpg,other,12,priority road,34,33
0,00420_0.jpg,prohibitory,3,speed limit 60,23,23
0,00420_1.jpg,prohibitory,3,speed limit 60,22,22
0,00063_0.jpg,prohibitory,9,no overtaking,23,21
0,00290_0.jpg,prohibitory,5,speed limit 80,37,32
2,00813_0.jpg,mandatory,33,go right,83,82
3,00813_1.jpg,other,13,give way,103,109
0,00249_0.jpg,prohibitory,2,speed limit 50,33,32
3,00158_0.jpg,other,41,restriction ends (overtaking),26,26
2,00410_0.jpg,mandatory,38,keep right,56,56
0,00625_0.jpg,prohibitory,2,speed limit 50,67,65
1,00298_0.jpg,danger,22,uneven road,96,107
0,00298_1.jpg,prohibitory,2,speed limit 50,75,76
1,00298_2.jpg,danger,11,priority at next intersection,31,38
0,00758_0.jpg,prohibitory,8,speed limit 120,32,31
0,00758_1.jpg,prohibitory,8,speed limit 120,32,33
0,00758_2.jpg,prohibitory,10,no overtaking (trucks),31,32
0,00758_3.jpg,prohibitory,10,no overtaking (trucks),33,32
2,00783_0.jpg,mandatory,38,keep right,46,43
2,00498_0.jpg,mandatory,38,keep right,48,49
3,00498_1.jpg,other,17,no entry,44,44
0,00428_0.jpg,prohibitory,7,speed limit 100,28,28
0,00428_1.jpg,prohibitory,7,speed limit 100,29,28
0,00109_0.jpg,prohibitory,3,speed limit 60,29,30
0,00669_0.jpg,prohibitory,4,speed limit 70,50,50
0,00263_0.jpg,prohibitory,2,speed limit 50,19,20
1,00055_0.jpg,danger,25,construction,42,46
1,00899_0.jpg,danger,24,road narrows,50,57
0,00476_0.jpg,prohibitory,7,speed limit 100,37,36
0,00476_1.jpg,prohibitory,7,speed limit 100,35,35
0,00601_0.jpg,prohibitory,7,speed limit 100,58,64
3,00289_0.jpg,other,6,restriction ends 80,42,41
3,00289_1.jpg,other,6,restriction ends 80,45,44
2,00612_0.jpg,mandatory,38,keep right,91,90
3,00612_1.jpg,other,17,no entry,77,76
2,00041_0.jpg,mandatory,38,keep right,33,34
3,00214_0.jpg,other,14,stop,106,110
2,00214_1.jpg,mandatory,33,go right,71,74
1,00034_0.jpg,danger,28,school crossing,30,33
1,00316_0.jpg,danger,20,bend right,24,26
0,00316_1.jpg,prohibitory,3,speed limit 60,23,23
1,00316_2.jpg,danger,20,bend right,25,28
0,00316_3.jpg,prohibitory,3,speed limit 60,24,25
0,00871_0.jpg,prohibitory,5,speed limit 80,36,37
0,00871_1.jpg,prohibitory,5,speed limit 80,41,39
0,00245_0.jpg,prohibitory,10,no overtaking (trucks),22,23
0,00245_1.jpg,prohibitory,10,no overtaking (trucks),23,22
0,00468_0.jpg,prohibitory,3,speed limit 60,39,37
0,00293_0.jpg,prohibitory,7,speed limit 100,47,43
0,00293_1.jpg,prohibitory,7,speed limit 100,50,51
2,00488_0.jpg,mandatory,38,keep right,22,22
1,00455_0.jpg,danger,11,priority at next intersection,81,90
0,00144_0.jpg,prohibitory,4,speed limit 70,18,19
0,00698_0.jpg,prohibitory,1,speed limit 30,29,28
3,00143_0.jpg,other,12,priority road,68,69
2,00250_0.jpg,mandatory,38,keep right,73,69
0,00250_1.jpg,prohibitory,2,speed limit 50,25,25
0,00501_0.jpg,prohibitory,4,speed limit 70,20,18
0,00501_1.jpg,prohibitory,4,speed limit 70,19,18
3,00501_2.jpg,other,17,no entry,104,108
2,00501_3.jpg,mandatory,38,keep right,111,109
2,00778_0.jpg,mandatory,39,keep left,44,44
0,00122_0.jpg,prohibitory,7,speed limit 100,22,21
0,00122_1.jpg,prohibitory,7,speed limit 100,23,21
0,00766_0.jpg,prohibitory,15,no traffic both ways,39,33
0,00486_0.jpg,prohibitory,7,speed limit 100,55,55
1,00265_0.jpg,danger,24,road narrows,30,30
1,00265_1.jpg,danger,18,danger,17,21
0,00265_2.jpg,prohibitory,1,speed limit 30,22,21
3,00270_0.jpg,other,41,restriction ends (overtaking),54,53
0,00270_1.jpg,prohibitory,2,speed limit 50,51,50
0,00270_2.jpg,prohibitory,2,speed limit 50,53,54
2,00754_0.jpg,mandatory,38,keep right,39,39
1,00305_0.jpg,danger,11,priority at next intersection,54,62
1,00305_1.jpg,danger,18,danger,45,48
0,00355_0.jpg,prohibitory,10,no overtaking (trucks),33,33
0,00124_0.jpg,prohibitory,4,speed limit 70,26,26
0,00124_1.jpg,prohibitory,4,speed limit 70,26,25
0,00566_0.jpg,prohibitory,9,no overtaking,34,34
0,00566_1.jpg,prohibitory,9,no overtaking,33,32
2,00566_2.jpg,mandatory,38,keep right,19,19
1,00281_0.jpg,danger,31,animals,30,34
0,00281_1.jpg,prohibitory,2,speed limit 50,33,33
3,00096_0.jpg,other,17,no entry,39,39
3,00096_1.jpg,other,17,no entry,39,36
2,00653_0.jpg,mandatory,35,go straight,23,22
3,00653_1.jpg,other,12,priority road,31,31
0,00605_0.jpg,prohibitory,4,speed limit 70,40,39
0,00605_1.jpg,prohibitory,4,speed limit 70,34,34
1,00689_0.jpg,danger,25,construction,27,32
1,00689_1.jpg,danger,25,construction,29,31
1,00816_0.jpg,danger,18,danger,47,53
1,00443_0.jpg,danger,18,danger,27,30
0,00443_1.jpg,prohibitory,8,speed limit 120,19,20
1,00443_2.jpg,danger,18,danger,26,32
0,00443_3.jpg,prohibitory,8,speed limit 120,18,19
1,00787_0.jpg,danger,11,priority at next intersection,75,87
1,00787_1.jpg,danger,18,danger,18,15
3,00490_0.jpg,other,13,give way,23,27
2,00490_1.jpg,mandatory,38,keep right,24,24
2,00490_2.jpg,mandatory,40,roundabout,20,19
1,00079_0.jpg,danger,11,priority at next intersection,30,29
0,00670_0.jpg,prohibitory,4,speed limit 70,67,68
0,00674_0.jpg,prohibitory,1,speed limit 30,34,33
3,00755_0.jpg,other,12,priority road,124,124
0,00755_1.jpg,prohibitory,1,speed limit 30,31,30
2,00755_2.jpg,mandatory,38,keep right,31,30
1,00383_0.jpg,danger,30,snow,29,34
1,00383_1.jpg,danger,30,snow,29,33
1,00147_0.jpg,danger,20,bend right,33,33
0,00349_0.jpg,prohibitory,10,no overtaking (trucks),59,60
0,00349_1.jpg,prohibitory,10,no overtaking (trucks),69,68
0,00656_0.jpg,prohibitory,15,no traffic both ways,25,25
0,00484_0.jpg,prohibitory,16,no trucks,33,33
0,00484_1.jpg,prohibitory,16,no trucks,34,33
2,00037_0.jpg,mandatory,38,keep right,21,22
2,00163_0.jpg,mandatory,38,keep right,73,72
2,00624_0.jpg,mandatory,38,keep right,49,46
0,00624_1.jpg,prohibitory,2,speed limit 50,25,24
3,00737_0.jpg,other,13,give way,33,35
3,00737_1.jpg,other,13,give way,34,37
0,00419_0.jpg,prohibitory,7,speed limit 100,49,46
3,00447_0.jpg,other,13,give way,77,86
